sitename,NO2,NO,CO,O31,O38,ssr,tp,u10,v10,d2m,t2m,sp,tcc,blh,wd,ws,NOx,FAC1_1,FAC2_1
PDHN,19.96521739,8.96,1.36,9.8,10.55833333,793647.0,0.0,3.616468,-5.4402256,272.37997,4.9627,102907.61,0.98279476,880.96094,326.3854569,6.532602496,28.92521739,-2.26218,-0.58783
PDHN,18.0173913,8.96,1.2,12.6,10.20833333,1030462.0,0.0,3.3556473,-4.8650956,272.37234,5.3978,102868.695,0.9277687,887.948,325.4044476,5.910120472,26.9773913,-2.12009,-0.37979
PDHN,16.06956522,8.96,1.12,16.8,10.61666667,1398884.0,0.0,3.2679577,-4.5492134,272.48846,6.02065,102772.086,0.80569184,894.1811,324.3081717,5.601329314,25.02956522,-1.93968,-0.24751
PDHN,16.06956522,8.213333333,1.04,20.06666667,11.66666667,1560893.0,0.0,3.2818232,-4.6624823,272.54498,6.6108,102704.734,0.75577766,910.76917,324.8590916,5.701675606,24.28289855,-1.82383,-0.22986
PDHN,17.04347826,8.96,0.96,21.46666667,12.95,1294877.5,0.0,2.972286,-5.1692605,272.38153,6.9556,102681.92,0.6514783,921.12415,330.1014213,5.962863254,26.00347826,-1.86118,-0.22447
PDHN,18.0173913,6.72,0.88,21.93333333,14.7,1156869.5,0.0,3.116187,-6.0197496,272.3334,7.0995,102656.77,0.63443327,934.0427,332.6311791,6.7784959,24.7373913,-1.78885,-0.51034
PDHN,24.83478261,3.733333333,0.96,16.8,16.04166667,621637.0,0.0,2.315363,-6.6241736,272.15997,6.75866,102660.95,0.75498414,918.7616,340.7338273,7.017163366,28.56811594,-2.06602,-0.559
PDHN,23.86086957,2.24,0.8,20.06666667,17.44166667,186811.0,0.0,1.4036151,-6.8677983,272.22186,6.19207,102688.63,0.78284824,895.2367,348.449173,7.009763822,26.10086957,-1.95407,-0.56785
PDHN,20.93913043,5.973333333,0.8,15.86666667,15.925,273217.0,2.81e-05,-0.967379,-3.6254904,276.41565,7.96316,102759.484,1.0000076,586.24646,14.9399974,3.752332977,26.91246377,-1.23878,-0.28375
PDHN,24.83478261,7.466666667,0.72,11.66666667,14.46666667,474428.0,1e-05,-0.666461,-4.1918325,276.89005,8.27133,102709.125,1.0000076,496.77148,9.033864446,4.244482297,32.30144928,-1.49517,-0.37378
PDHN,25.32173913,8.213333333,0.8,11.2,13.53333333,326420.0,2.81e-05,-0.7515274,-4.6268415,277.2712,8.2242,102615.26,0.99448365,528.08777,9.22585242,4.687478608,33.53507246,-1.54966,-0.49499
PDHN,20.93913043,3.733333333,0.72,14.93333333,13.70833333,344420.0,6.02e-05,-1.0052279,-5.2747173,277.33463,8.22552,102543.59,1.0000076,603.83984,10.78974678,5.369648566,24.67246377,-1.11841,-0.89598
PDHN,20.93913043,5.226666667,0.72,12.6,13.3,175211.0,0.000128523,-1.3567362,-5.4587784,277.31552,7.95007,102509.54,0.99825275,644.60626,13.95759818,5.624855086,26.1657971,-1.23675,-0.97786
PDHN,18.99130435,3.733333333,0.72,15.4,13.70833333,235614.0,0.000664718,-1.5201237,-4.835802,277.86093,7.53134,102424.86,1.0000076,650.5378,17.45042562,5.069098248,22.72463768,-1.08442,-0.84563
PDHN,16.06956522,2.24,0.72,18.66666667,14.35,97206.0,0.00132139,-2.3216972,-4.898295,277.7563,7.38937,102412.38,1.0000076,678.1845,25.36004795,5.420661564,18.30956522,-0.86838,-1.0134
PDHN,16.06956522,1.493333333,0.72,20.06666667,15.05,35602.0,0.000650659,-2.9407716,-4.316818,277.80746,7.4018,102421.016,1.0000076,697.53723,34.26409784,5.223318413,17.56289855,-0.8368,-0.92418
PDHN,8.27826087,2.24,0.56,31.73333333,32.66666667,156809.0,0.00013455,-5.4301844,-2.6548975,279.56824,9.5419,102368.4,1.0000076,693.0635,63.94530666,6.044450625,10.51826087,-0.30232,-1.0657
PDHN,7.791304348,2.24,0.56,33.13333333,32.725,265216.0,0.000116475,-5.533613,-2.6221862,279.4529,9.65313,102317.836,1.0000076,691.7566,64.64535873,6.123457626,10.03130435,-0.25324,-1.07742
PDHN,8.27826087,1.493333333,0.56,32.66666667,32.55,266016.0,0.000160657,-5.1506267,-2.7457075,279.41547,9.64788,102233.49,1.0000076,665.6681,61.93871589,5.836768376,9.771594203,-0.24893,-1.00403
PDHN,7.791304348,2.24,0.56,32.66666667,32.43333333,261216.0,0.000156641,-4.8527064,-2.99812,279.3467,9.59686,102159.3,1.0000076,646.9688,58.29121946,5.704163649,10.03130435,-0.25525,-0.96334
PDHN,7.304347826,1.493333333,0.56,33.6,32.49166667,181211.0,0.000218898,-4.4783387,-3.367707,279.35208,9.45947,102116.47,1.0000076,615.9542,53.05686439,5.603299738,8.797681159,-0.18458,-0.96464
PDHN,7.791304348,1.493333333,0.56,33.13333333,32.43333333,122407.0,0.000769138,-4.8380914,-3.3125377,280.2802,9.38946,102034.39,1.0000076,606.9564,55.60139179,5.86344902,9.284637681,-0.21806,-1.04079
PDHN,7.304347826,1.493333333,0.56,34.06666667,32.78333333,55603.0,0.001319386,-4.8931785,-3.778305,280.13123,9.27233,102017.945,1.0000076,619.4729,52.32620177,6.1821343,8.797681159,-0.17522,-1.15508
PDHN,6.330434783,1.493333333,0.64,35.46666667,33.30833333,14001.0,0.001775254,-4.9156632,-4.186462,280.16562,9.10745,102065.836,1.0000076,636.71436,49.58037099,6.45679555,7.823768116,-0.10863,-1.26054
PDHN,12.66086957,2.986666667,0.64,24.26666667,32.60833333,165610.0,0.000188768,-1.9964211,-5.650651,278.98538,8.57488,102229.45,1.0000076,681.7032,19.45873011,5.992958696,15.64753623,-0.58348,-1.16416
PDHN,12.17391304,2.986666667,0.72,22.86666667,30.91666667,234814.0,0.000198811,-1.6018176,-5.5305476,279.0366,8.68743,102217.05,1.0000076,660.8927,16.15265094,5.757844769,15.16057971,-0.57849,-1.12726
PDHN,17.53043478,5.226666667,0.72,16.33333333,28.35,269617.0,0.000154629,-1.2604274,-5.6540685,278.9663,8.68875,102091.734,1.0000076,644.3047,12.56711713,5.792854895,22.75710145,-0.99207,-1.0476
PDHN,19.47826087,5.973333333,0.72,14.93333333,25.60833333,237614.0,0.000172704,-0.55478776,-5.518342,278.9258,8.62002,102022.336,1.0000076,632.3915,5.74095409,5.546159742,25.4515942,-1.11672,-0.93407
PDHN,23.37391304,6.72,0.72,11.2,22.45833333,295618.0,0.000236973,-0.076991424,-5.7053323,278.85782,8.57162,101981.086,1.0000076,634.60315,0.773139175,5.705851762,30.09391304,-1.35873,-0.9348
PDHN,21.42608696,3.733333333,0.8,13.53333333,20.18333333,266815.0,0.000166677,0.27264306,-5.850824,278.45526,8.3577,101964.71,1.0000076,643.2491,357.331999,5.857173014,25.15942029,-1.96437,-0.23733
