sitename,NO2,NO,CO,O31,O38,ssr,tp,u10,v10,d2m,t2m,sp,tcc,blh,wd,ws,NOx,FAC1_1,FAC2_1
PT,25.32173913,2.986666667,0.56,38.26666667,34.88333333,1136068.0,0.0,0.958796,2.3264709,288.25528,20.74615,101726.14,0.0526914,625.0022,202.3977662,2.516298197,28.3084058,-0.40933,0.73462
PT,36.03478261,2.24,0.72,31.26666667,36.51666667,654839.0,0.0,0.2850096,1.8104161,288.49286,20.12133,101723.88,0.02346927,448.3645,188.9465151,1.832712996,38.27478261,-0.90257,1.15142
PT,40.4173913,1.493333333,0.72,26.6,36.925,180411.0,0.0,-0.026401222,1.5042986,288.21707,18.70748,101748.96,0.003067195,64.17517,178.9945325,1.50453026,41.91072464,-1.17305,1.26523
PT,44.8,37.33333333,1.04,8.866666667,10.61666667,976058.0,0.0,0.24491218,4.467341,289.80753,18.75524,101268.67,0.7466982,498.32983,183.1379743,4.47404935,82.13333333,-2.57737,0.68519
PT,41.87826087,43.30666667,1.28,4.2,9.041666667,1149669.0,0.0,0.47725233,4.8393693,289.65167,19.8426,101124.24,0.71343225,539.4983,185.6322236,4.862845361,85.18492754,-2.67958,0.56525
PT,31.16521739,7.093333333,1.6,1.866666667,7.175,1612497.0,0.0,1.496926,4.9003973,289.57834,21.00067,100999.89,0.6762141,544.47473,196.9863573,5.123932196,38.25855072,-1.15098,-0.65602
PT,29.2173913,5.973333333,1.44,2.333333333,5.658333333,1555292.5,0.0,1.4388409,4.8789153,289.52487,21.615,100872.52,0.37093043,591.07214,196.4313152,5.086656824,35.19072464,-1.01742,-0.69008
PT,26.7826087,5.6,1.28,1.866666667,4.783333333,1158469.5,3.41e-05,4.1609683,3.598299,289.22083,20.94308,100844.91,0.9395186,721.01184,229.1475881,5.501037437,32.3826087,-0.97443,-0.8956
PT,27.75652174,4.48,1.6,2.333333333,4.316666667,378022.5,0.000532173,6.8812222,-1.687722,281.49326,11.1324,101358.91,0.9963758,726.5915,283.7806159,7.085169336,32.23652174,-1.38399,-1.78798
PT,30.19130435,2.986666667,1.52,3.733333333,3.966666667,99606.0,0.000122502,6.8029013,-1.5139136,280.7164,9.72378,101429.61,0.997795,693.41534,282.5461245,6.969318509,33.17797101,-1.4636,-1.74194
PT,33.11304348,2.24,1.52,1.866666667,3.383333333,31602.0,2.01e-06,7.430969,-1.4338446,279.37653,8.67367,101582.54,0.997795,779.8743,280.9213028,7.568038756,35.35304348,-1.5755,-2.02056
PT,24.34782609,8.96,1.12,10.73333333,8.166666667,926455.0,0.0,2.6721175,-3.7363176,271.4717,4.9313,102895.62,0.97131956,885.5352,324.4286326,4.593504233,33.30782609,-1.76709,-0.62172
PT,23.37391304,10.45333333,1.04,12.13333333,8.108333333,1259276.0,0.0,2.5117278,-3.268109,271.4404,5.615,102853.69,0.71437836,895.3373,322.4556718,4.12180943,33.82724638,-1.75533,-0.36111
PT,20.93913043,10.45333333,0.96,18.2,9.275,1632098.0,0.0,2.5492022,-3.0332725,271.68408,6.476,102757.086,0.35678482,926.5027,319.9558636,3.962218307,31.39246377,-1.54377,-0.25347
PT,19.96521739,8.213333333,0.8,23.33333333,11.08333333,1755704.5,0.0,2.5570717,-3.1968281,271.6917,7.216,102682.74,0.20418876,955.1045,321.3444626,4.093693391,28.17855072,-1.31438,-0.30298
PT,23.37391304,7.466666667,0.72,23.33333333,13.24166667,1511290.5,0.0,2.28351,-3.5708091,271.46942,7.57845,102654.93,0.12668523,971.29047,327.4013403,4.238525162,30.84057971,-1.38006,-0.27886
PT,25.32173913,5.973333333,0.72,22.4,15.63333333,1241274.0,0.0,2.598668,-4.030718,271.58173,7.63668,102630.74,0.5843055,969.12897,327.1894806,4.795806811,31.29507246,-1.37291,-0.53146
PT,27.26956522,3.733333333,0.72,22.4,17.675,655240.0,0.0,1.8075871,-4.2943597,271.2204,7.12176,102634.92,0.6524854,936.15393,337.1727419,4.659280669,31.00289855,-1.40635,-0.46866
PT,33.6,2.986666667,0.8,17.26666667,18.725,193611.0,0.0,0.7092178,-3.8608153,271.29602,6.26272,102659.586,0.7332545,863.81995,349.5910188,3.925415222,36.58666667,-1.76844,-0.05856
PT,35.54782609,11.2,0.96,8.866666667,18.78333333,320820.0,0.00067877,0.20743796,-2.5875223,276.2705,6.56695,102760.44,0.9981612,350.99768,355.416482,2.595823985,46.74782609,-2.30625,0.71437
