sitename,NO2,NO,CO,O31,O38,ssr,tp,u10,v10,d2m,t2m,sp,tcc,blh,wd,ws,NOx,FAC1_1,FAC2_1
DSL,26.7826087,2.986666667,0.4,33.6,31.90833333,716443.0,0.0,1.175397,0.4961122,288.4554,20.68597,101759.92,0.014130384,407.4474,247.1163383,1.275807753,29.76927536,-0.65717,1.45723
DSL,34.08695652,2.24,0.48,28.46666667,32.78333333,204812.0,0.0,0.868858,-0.54625,288.5807,19.4049,101782.945,0.011887223,53.21692,302.1575267,1.02630565,36.32695652,-1.03958,1.84066
DSL,36.52173913,6.346666667,1.36,3.266666667,1.983333333,969658.0,0.0,0.5971699,3.1208143,289.39502,18.62243,101299.64,0.9689543,315.96167,190.8326398,3.177435095,42.8684058,-1.56042,0.31321
DSL,28.24347826,28.37333333,1.36,3.733333333,2.275,1044863.0,0.0,1.2690827,3.156943,289.37057,19.5122,101172.2,0.88836837,340.44165,201.8999961,3.402478509,56.61681159,-1.92254,0.61454
DSL,25.32173913,26.13333333,0.96,2.333333333,2.391666667,1721703.0,0.0,2.4618871,2.9743464,289.30487,20.65325,101065.87,0.9482471,400.4602,219.6147929,3.861039316,51.45507246,-1.73206,0.30315
DSL,23.86086957,5.6,1.04,2.333333333,2.566666667,1537692.0,0.0,2.3168619,3.023169,289.2728,21.10665,100917.53,0.95410675,548.14417,217.4654234,3.808858079,29.46086957,-1.05063,-0.24459
DSL,26.7826087,5.226666667,1.36,2.333333333,2.683333333,1273276.5,0.000309266,8.6717415,-1.5915415,286.67172,17.4467,101094.92,0.99068403,712.41626,280.3998665,8.816581253,32.00927536,-1.16811,-2.69661
DSL,29.70434783,5.226666667,1.44,4.2,2.975,259215.5,0.000469916,6.6537538,-1.637923,280.77063,10.17718,101488.875,1.0000076,704.07196,283.8292673,6.852388736,34.93101449,-1.63335,-1.73391
DSL,30.19130435,2.986666667,1.44,3.733333333,3.15,91205.5,2.41e-05,6.974533,-1.9420877,279.7241,8.99755,101577.6,0.9996109,729.1048,285.5600823,7.239876739,33.17797101,-1.63202,-2.00913
DSL,31.16521739,6.72,1.36,3.266666667,3.15,60803.5,6.02e-06,7.371385,-1.7228743,278.6829,8.13262,101738.55,0.9990768,847.2319,283.155283,7.570047072,37.88521739,-1.80953,-2.08889
DSL,21.42608696,5.226666667,0.88,18.66666667,15.925,902454.0,0.0,2.5480778,-3.2803147,272.57553,5.3147,102975.64,0.97789645,890.76294,322.160709,4.153692936,26.65275362,-1.48226,-0.40771
DSL,22.4,5.973333333,0.88,17.73333333,15.75,1403684.0,0.0,2.5694382,-2.8345644,272.6573,6.0344,102931.73,0.8214245,895.8902,317.8087407,3.825802922,28.37333333,-1.52421,-0.19585
DSL,18.50434783,6.72,0.72,23.33333333,16.625,1756105.0,0.0,2.7946582,-2.7178786,272.7505,6.80773,102834.09,0.7532446,938.9689,314.2020257,3.898330224,25.22434783,-1.2951,-0.25637
DSL,18.50434783,5.226666667,0.72,27.53333333,18.2,1856911.5,0.0,2.7942836,-2.8775284,272.70084,7.4273,102755.71,0.52784497,958.07025,315.8408659,4.011008667,23.73101449,-1.14801,-0.29593
DSL,19.96521739,5.226666667,0.64,27.53333333,19.6,1741304.0,0.0,2.5540738,-3.1275,272.41666,7.78323,102723.92,0.3933163,949.0222,320.7631956,4.037889204,25.19188406,-1.17705,-0.24912
DSL,23.37391304,3.733333333,0.64,24.73333333,21.05833333,1276476.5,0.0,2.7159624,-3.4394763,272.60687,7.60528,102703.78,0.728875,934.74646,321.7038198,4.382516284,27.10724638,-1.27889,-0.4065
DSL,29.70434783,2.986666667,0.72,19.13333333,22.05,762046.0,0.0,1.9481156,-3.6147494,271.98657,7.2199,102697.95,0.6774654,899.811,331.6782107,4.106283918,32.69101449,-1.57327,-0.14817
DSL,27.26956522,1.493333333,0.56,21.0,22.45833333,220813.0,0.0,0.8654853,-2.9732206,272.09506,6.41647,102714.6,0.79473543,827.47705,343.7700634,3.096628092,28.76289855,-1.50215,0.30963
DSL,23.86086957,2.986666667,0.72,18.2,23.04166667,479229.0,0.000196807,-0.4408661,-2.5396762,275.9665,6.07037,102839.44,0.99791706,316.213,9.847921536,2.577657487,26.84753623,-1.33681,-0.4649
DSL,27.26956522,5.226666667,0.72,15.86666667,21.58333333,492029.0,0.000598438,-0.6762042,-2.5489523,276.27737,6.0743,102794.08,1.0000076,326.46753,14.85759697,2.637121527,32.49623188,-1.5462,-0.3547
DSL,29.2173913,3.733333333,0.72,14.93333333,19.89166667,490830.0,0.000668734,-1.061814,-2.496224,276.4019,6.35497,102682.266,1.0000076,383.8722,23.04335238,2.712670866,32.95072464,-1.56439,-0.36097
DSL,31.65217391,5.226666667,0.64,12.13333333,18.025,431225.0,0.000170693,-1.1955969,-2.8018534,276.63565,6.44003,102608.61,1.0000076,425.54346,23.10873927,3.046282065,36.87884058,-1.71421,-0.45604
DSL,29.2173913,5.973333333,0.56,13.06666667,16.74166667,227214.0,0.000317298,-1.290032,-2.7798831,277.1635,6.20385,102570.516,0.9996109,458.01575,24.89411944,3.064626015,35.19072464,-1.65937,-0.50159
DSL,36.03478261,8.96,0.64,5.133333333,14.875,254015.0,0.000735,-1.5759604,-2.6187687,277.47748,6.13317,102459.87,1.0000076,474.453,31.0392944,3.056403227,44.99478261,-2.09372,-0.29787
DSL,34.57391304,2.986666667,0.64,6.066666667,13.24166667,113607.0,0.001166768,-1.9593216,-2.286775,277.43774,5.9382,102431.43,1.0000076,512.505,40.59015304,3.011358669,37.56057971,-1.87083,-0.43835
DSL,30.67826087,0.746666667,0.64,7.933333333,11.66666667,42003.0,0.001592502,-1.8041784,-2.2159824,277.53934,5.7825,102453.016,0.99379694,502.90405,39.15132306,2.857557995,31.42492754,-1.6669,-0.50974
DSL,29.70434783,6.72,0.48,11.66666667,10.61666667,186011.0,2.61e-05,-2.8811877,-1.6208351,279.5568,8.27654,102367.375,1.0000076,494.1576,60.63972347,3.305805346,36.42434783,-1.63462,-0.45761
DSL,28.73043478,2.986666667,0.48,13.53333333,9.916666667,152409.0,1.81e-05,-2.7680154,-1.6203468,279.59344,8.48132,102337.77,1.0000076,534.723,59.65605579,3.207402845,31.71710145,-1.45507,-0.51069
DSL,29.70434783,2.986666667,0.4,14.46666667,10.26666667,188412.0,4.82e-05,-2.7267938,-1.8288193,279.63623,8.68875,102242.54,1.0000076,544.7261,56.15084129,3.283288665,32.69101449,-1.45446,-0.52117
DSL,28.73043478,2.986666667,0.4,16.33333333,10.85,165610.0,0.000124507,-2.6199923,-1.9855398,279.6263,8.68875,102171.28,1.0000076,534.11975,52.84362809,3.287358811,31.71710145,-1.39196,-0.54085
DSL,28.24347826,4.48,0.32,15.4,11.49166667,171210.0,0.000307255,-2.5581598,-2.1237075,279.9418,8.4964,102125.516,1.0000076,529.54553,50.30156038,3.324803018,32.72347826,-1.44417,-0.55446
DSL,31.65217391,5.973333333,0.32,16.33333333,12.6,83605.0,0.001196891,-3.1007864,-2.0856261,280.2573,8.43813,102018.43,1.0000076,527.0824,56.07475025,3.736938925,37.62550725,-1.56808,-0.61656
DSL,30.19130435,2.24,0.32,14.46666667,13.65,49603.0,0.00158447,-3.031834,-2.4366605,280.07013,8.18823,102014.93,1.0000076,527.0321,51.21144112,3.889644173,32.43130435,-1.44723,-0.8705
DSL,28.73043478,2.986666667,0.68,16.8,14.875,15601.0,0.001799349,-2.9145396,-2.520147,279.82187,7.92782,102069.81,1.0000076,523.1113,49.1506512,3.853009471,31.71710145,-1.39901,-0.8601
DSL,18.99130435,2.986666667,0.48,22.4,26.19166667,142008.0,0.000114471,0.2231771,-2.3868613,279.08472,7.0184,102322.49,1.0000076,543.51965,354.6582419,2.397272384,21.97797101,-1.27602,0.55466
DSL,19.47826087,2.986666667,0.48,24.26666667,25.25833333,183211.0,0.00010442,-0.1309543,-3.3491545,279.0152,7.16824,102306.055,1.0000076,504.96497,2.239164674,3.351713725,22.46492754,-1.02201,-0.92399
DSL,24.83478261,3.733333333,0.56,18.2,23.56666667,340820.0,7.23e-05,-0.3093316,-3.7343647,278.5194,7.4234,102185.74,1.0000076,529.89734,4.735216469,3.747154354,28.56811594,-1.28317,-1.01397
DSL,26.7826087,3.733333333,0.56,18.66666667,22.34166667,249615.0,0.000116475,0.19806936,-3.1807165,278.51102,7.52218,102118.32,1.0000076,501.94897,356.4366823,3.186877614,30.51594203,-1.54606,0.3486
DSL,27.26956522,2.986666667,0.56,19.13333333,21.29166667,251615.0,0.000184752,0.55295026,-3.0903947,278.51407,7.52676,102070.086,1.0000076,500.79285,349.8556725,3.139473426,30.25623188,-1.5281,0.35209
DSL,27.26956522,2.986666667,0.64,19.13333333,20.59166667,213213.0,0.000202827,0.5098549,-2.7852538,278.52554,7.40048,102047.68,1.0000076,500.4912,349.6265664,2.831535052,30.25623188,-1.54414,0.50937
DSL,25.80869565,1.493333333,0.72,21.46666667,20.70833333,77205.0,0.000180744,0.98465323,-2.40102,278.68137,6.98242,102081.59,1.0000076,521.30176,337.7015696,2.595079772,27.30202899,-1.43712,0.53313
DSL,29.2173913,1.493333333,0.72,18.2,20.18333333,26401.0,0.000170693,1.3830043,-2.472789,278.5538,6.62322,102152.164,1.0000076,555.88525,330.7821842,2.833264254,30.71072464,-1.59925,0.43948
DSL,22.4,8.213333333,1.12,27.06666667,22.225,1306478.0,0.0,2.523345,-3.1533759,272.43042,5.0445,102671.85,0.1974135,802.3436,321.3330544,4.038694041,30.61333333,-1.47667,-0.1727
DSL,21.91304348,5.973333333,1.04,35.0,23.625,1706502.0,0.0,2.5405831,-3.5927792,271.81775,6.22674,102624.09,0.62036395,1067.8027,324.7344986,4.40029827,27.88637681,-1.19631,-0.3215
DSL,20.93913043,5.226666667,0.96,40.13333333,25.31666667,1759705.5,0.0,2.44315,-3.225145,271.9484,6.84893,102497.96,0.94699574,1104.397,322.8549124,4.046052668,26.1657971,-1.04018,-0.1244
DSL,19.96521739,3.733333333,0.88,44.33333333,27.65,1883313.0,0.0,2.4236634,-2.7696304,272.28757,7.48815,102385.46,0.9924846,1133.5518,318.8113005,3.680352813,23.69855072,-0.87561,0.04437
DSL,23.86086957,3.733333333,0.96,39.2,29.98333333,1533291.5,0.0,2.473504,-2.474254,272.38382,7.63275,102328.94,0.9954908,1124.1016,315.0086851,3.498593274,27.5942029,-1.07567,0.18589
DSL,27.26956522,2.986666667,1.04,36.4,32.375,804848.0,0.0,2.5207217,-2.40102,272.76346,7.05374,102335.17,1.0000076,1071.7236,313.6067838,3.481226067,30.25623188,-1.22949,0.22126
DSL,27.75652174,2.24,0.96,35.0,34.70833333,414425.0,0.0,2.3483403,-2.3863733,272.52664,6.63827,102374.91,0.9984969,1011.0515,315.4602355,3.348056106,29.99652174,-1.27011,0.26652
DSL,27.26956522,1.493333333,0.88,34.53333333,36.45833333,101606.0,0.0,1.9586084,-2.014345,272.5343,6.2542,102423.625,0.8849197,989.73834,315.8037503,2.809578731,28.76289855,-1.27701,0.50303
DSL,34.57391304,15.68,1.12,18.66666667,5.541666667,1053663.0,0.0,-1.0243398,0.6430682,272.42657,6.07888,102644.17,0.9996109,975.76416,122.1201076,1.209466302,50.25391304,-2.14043,1.19387
DSL,25.80869565,6.72,1.04,30.33333333,9.041666667,1098866.0,0.0,-0.67957693,0.9159864,272.58624,6.56695,102602.72,1.0000076,1035.9336,143.4280132,1.140550695,32.52869565,-1.40407,0.94565
DSL,17.04347826,2.986666667,0.8,42.46666667,14.05833333,1290077.0,0.0,-0.05300793,0.8002769,272.89716,7.0727,102519.41,1.0000076,1051.5164,176.2104358,0.802030521,20.03014493,-0.8315,1.01375
DSL,22.88695652,2.986666667,0.88,42.46666667,19.075,1145268.5,0.0,0.29999927,0.88181055,273.05298,7.36974,102444.18,1.0000076,1061.2178,198.7887307,0.931444796,25.87362319,-1.0015,1.17187
DSL,18.99130435,2.24,0.8,48.06666667,24.85,967658.0,0.0,0.4731302,0.42483124,273.01477,7.54116,102399.914,1.0000076,1005.9243,228.0788209,0.635872447,21.23130435,-0.78659,1.34505
